accession,file_accession,href,time_point
ENCSR070IYV,ENCFF751KTB,https://www.encodeproject.org/files/ENCFF751KTB/@@download/ENCFF751KTB.tsv,0.5
ENCSR070IYV,ENCFF455FKW,https://www.encodeproject.org/files/ENCFF455FKW/@@download/ENCFF455FKW.tsv,0.5
ENCSR070IYV,ENCFF682KAI,https://www.encodeproject.org/files/ENCFF682KAI/@@download/ENCFF682KAI.tsv,0.5
ENCSR070IYV,ENCFF758CPM,https://www.encodeproject.org/files/ENCFF758CPM/@@download/ENCFF758CPM.tsv,0.5
ENCSR154TDP,ENCFF461QOJ,https://www.encodeproject.org/files/ENCFF461QOJ/@@download/ENCFF461QOJ.tsv,12
ENCSR154TDP,ENCFF028ISO,https://www.encodeproject.org/files/ENCFF028ISO/@@download/ENCFF028ISO.tsv,12
ENCSR154TDP,ENCFF408AAJ,https://www.encodeproject.org/files/ENCFF408AAJ/@@download/ENCFF408AAJ.tsv,12
ENCSR154TDP,ENCFF900OYE,https://www.encodeproject.org/files/ENCFF900OYE/@@download/ENCFF900OYE.tsv,12
ENCSR224PTG,ENCFF753BQM,https://www.encodeproject.org/files/ENCFF753BQM/@@download/ENCFF753BQM.tsv,10
ENCSR224PTG,ENCFF986ORP,https://www.encodeproject.org/files/ENCFF986ORP/@@download/ENCFF986ORP.tsv,10
ENCSR224PTG,ENCFF199CCQ,https://www.encodeproject.org/files/ENCFF199CCQ/@@download/ENCFF199CCQ.tsv,10
ENCSR224PTG,ENCFF277FJZ,https://www.encodeproject.org/files/ENCFF277FJZ/@@download/ENCFF277FJZ.tsv,10
ENCSR255VBV,ENCFF763LKA,https://www.encodeproject.org/files/ENCFF763LKA/@@download/ENCFF763LKA.tsv,6
ENCSR255VBV,ENCFF197WCT,https://www.encodeproject.org/files/ENCFF197WCT/@@download/ENCFF197WCT.tsv,6
ENCSR255VBV,ENCFF474PTO,https://www.encodeproject.org/files/ENCFF474PTO/@@download/ENCFF474PTO.tsv,6
ENCSR326PTW,ENCFF962ZAV,https://www.encodeproject.org/files/ENCFF962ZAV/@@download/ENCFF962ZAV.tsv,4
ENCSR326PTW,ENCFF796DKS,https://www.encodeproject.org/files/ENCFF796DKS/@@download/ENCFF796DKS.tsv,4
ENCSR326PTW,ENCFF003QRO,https://www.encodeproject.org/files/ENCFF003QRO/@@download/ENCFF003QRO.tsv,4
ENCSR326PTW,ENCFF741DHC,https://www.encodeproject.org/files/ENCFF741DHC/@@download/ENCFF741DHC.tsv,4
ENCSR385TFN,ENCFF307LJZ,https://www.encodeproject.org/files/ENCFF307LJZ/@@download/ENCFF307LJZ.tsv,7
ENCSR385TFN,ENCFF880LYB,https://www.encodeproject.org/files/ENCFF880LYB/@@download/ENCFF880LYB.tsv,7
ENCSR385TFN,ENCFF355BUZ,https://www.encodeproject.org/files/ENCFF355BUZ/@@download/ENCFF355BUZ.tsv,7
ENCSR385TFN,ENCFF933PQR,https://www.encodeproject.org/files/ENCFF933PQR/@@download/ENCFF933PQR.tsv,7
ENCSR543QRU,ENCFF781NIN,https://www.encodeproject.org/files/ENCFF781NIN/@@download/ENCFF781NIN.tsv,5
ENCSR543QRU,ENCFF790ZHB,https://www.encodeproject.org/files/ENCFF790ZHB/@@download/ENCFF790ZHB.tsv,5
ENCSR543QRU,ENCFF484ZIQ,https://www.encodeproject.org/files/ENCFF484ZIQ/@@download/ENCFF484ZIQ.tsv,5
ENCSR546PPG,ENCFF078VIQ,https://www.encodeproject.org/files/ENCFF078VIQ/@@download/ENCFF078VIQ.tsv,8
ENCSR546PPG,ENCFF152FBV,https://www.encodeproject.org/files/ENCFF152FBV/@@download/ENCFF152FBV.tsv,8
ENCSR546PPG,ENCFF547KMT,https://www.encodeproject.org/files/ENCFF547KMT/@@download/ENCFF547KMT.tsv,8
ENCSR546PPG,ENCFF104AUX,https://www.encodeproject.org/files/ENCFF104AUX/@@download/ENCFF104AUX.tsv,8
ENCSR624RID,ENCFF294WBC,https://www.encodeproject.org/files/ENCFF294WBC/@@download/ENCFF294WBC.tsv,3
ENCSR624RID,ENCFF392ZOZ,https://www.encodeproject.org/files/ENCFF392ZOZ/@@download/ENCFF392ZOZ.tsv,3
ENCSR624RID,ENCFF502VPL,https://www.encodeproject.org/files/ENCFF502VPL/@@download/ENCFF502VPL.tsv,3
ENCSR624RID,ENCFF898GFD,https://www.encodeproject.org/files/ENCFF898GFD/@@download/ENCFF898GFD.tsv,3
ENCSR632DQP,ENCFF778BJF,https://www.encodeproject.org/files/ENCFF778BJF/@@download/ENCFF778BJF.tsv,0
ENCSR632DQP,ENCFF620TAH,https://www.encodeproject.org/files/ENCFF620TAH/@@download/ENCFF620TAH.tsv,0
ENCSR632DQP,ENCFF082ICE,https://www.encodeproject.org/files/ENCFF082ICE/@@download/ENCFF082ICE.tsv,0
ENCSR632DQP,ENCFF467SQA,https://www.encodeproject.org/files/ENCFF467SQA/@@download/ENCFF467SQA.tsv,0
ENCSR656FIH,ENCFF744NRK,https://www.encodeproject.org/files/ENCFF744NRK/@@download/ENCFF744NRK.tsv,1
ENCSR656FIH,ENCFF165EET,https://www.encodeproject.org/files/ENCFF165EET/@@download/ENCFF165EET.tsv,1
ENCSR656FIH,ENCFF054BTH,https://www.encodeproject.org/files/ENCFF054BTH/@@download/ENCFF054BTH.tsv,1
ENCSR656FIH,ENCFF130DRZ,https://www.encodeproject.org/files/ENCFF130DRZ/@@download/ENCFF130DRZ.tsv,1
ENCSR924BHF,ENCFF778KFO,https://www.encodeproject.org/files/ENCFF778KFO/@@download/ENCFF778KFO.tsv,2
ENCSR924BHF,ENCFF073UOS,https://www.encodeproject.org/files/ENCFF073UOS/@@download/ENCFF073UOS.tsv,2
ENCSR924BHF,ENCFF966TZR,https://www.encodeproject.org/files/ENCFF966TZR/@@download/ENCFF966TZR.tsv,2
ENCSR924BHF,ENCFF405LAY,https://www.encodeproject.org/files/ENCFF405LAY/@@download/ENCFF405LAY.tsv,2
