Sample	POL2_shCRTL-1_Dex,B	POL2_shCTRL-2_Dex,B	POL2_shCRTL_Dex,B	POL2_shCRTL-1_EtOH,B	POL2_shCTRL-2_EtOH,B	POL2_shCTRL_EtOH,B	POL2_shNIPBL-3_Dex,B	POL2_shNIPBL-5_Dex,B	POL2_shNIPBL_Dex,B	POL2_shNIPBL-3_EtOH,B	POL2_shNIPBL-5_EtOH,B	POL2_shNIPBL_EtOH,B	POL2-ser2_shCRTL-1_Dex,B	POL2-ser2_shCTRL-2_Dex,B	POL2-ser2_shCRTL_Dex,B	POL2-ser2_shCRTL-1_EtOH,B	POL2-ser2_shCTRL-2_EtOH,B	POL2-ser2_shCTRL_EtOH,B	POL2-ser2_shNIPBL-3_Dex,B	POL2-ser2_shNIPBL-5_Dex,B	POL2-ser2_shNIPBL_Dex,B	POL2-ser2_shNIPBL-3_EtOH,B	POL2-ser2_shNIPBL-5_EtOH,B	POL2-ser2_shNIPBL_EtOH,B	POL2-ser2_shCRTL-1_DexN,N	POL2-ser2_shCTRL-2_DexN,N	POL2-ser2_shCRTL_DexN,N	POL2-ser2_shCRTL-1_EtOHN,N	POL2-ser2_shCTRL-2_EtOHN,N	POL2-ser2_shCTRL_EtOHN,N	POL2-ser2_shNIPBL-3_DexN,N	POL2-ser2_shNIPBL-5_DexN,N	POL2-ser2_shNIPBL_DexN,N	POL2-ser2_shNIPBL-3_EtOHN,N	POL2-ser2_shNIPBL-5_EtOHN,N	POL2-ser2_shNIPBL_EtOHN,N
POL2_shCRTL-1_Dex_Rep1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POL2_shCRTL-1_EtOH_Rep1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POL2_shCTRL-2_Dex_Rep1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POL2_shCTRL-2_EtOH_Rep1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POL2_shNIPBL-3_Dex_Rep1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POL2_shNIPBL-3_EtOH_Rep1	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POL2_shNIPBL-5_Dex_Rep1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POL2_shNIPBL-5_EtOH_Rep1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POL2-ser2_shCRTL-1_Dex_Rep1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
POL2-ser2_shCRTL-1_EtOH_Rep1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0
POL2-ser2_shCTRL-2_Dex_Rep1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0
POL2-ser2_shCTRL-2_EtOH_Rep1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0
POL2-ser2_shNIPBL-3_Dex_Rep1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0
POL2-ser2_shNIPBL-3_EtOH_Rep1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	2	0	2
POL2-ser2_shNIPBL-5_Dex_Rep1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0
POL2-ser2_shNIPBL-5_EtOH_Rep1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	2
WCE_shCRTL-1_Dex_Rep1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
WCE_shCTRL-1_EtOH_Rep1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
WCE_shCTRL-2_Dex_Rep1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
WCE_shCTRL-2_EtOH_Rep1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
WCE_shNIPBL-3_Dex_Rep1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
WCE_shNIPBL-3_EtOH_Rep1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1
WCE_shNIPBL-5_Dex_Rep1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
WCE_shNIPBL-5_EtOH_Rep1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1
