Sample	A549_CTRL_BRD4,N	A549_CTRL_CDK9,N	A549_CTRL_MED1,N	A549_CTRL_NIPBL,N	A549_CTRL_SMC1A,N	A549_DEX_BRD4,N	A549_DEX_CDK9,N	A549_DEX_MED1,N	A549_DEX_NIPBL,N	A549_DEX_SMC1A,N	A549_CTRL_MED1_rep1,N	A549_CTRL_NIPBL_rep1,N	A549_CTRL_SMC1A_rep1,N	A549_CTRL_MED1_rep2,N	A549_CTRL_NIPBL_rep2,N	A549_CTRL_SMC1A_rep2,N	A549_CTRL_BRD4_rep1,N	A549_CTRL_BRD4_rep2,N	A549_CTRL_CDK9_rep1,N	A549_CTRL_CDK9_rep2,N	A549_DEX_BRD4_rep1,N	A549_DEX_BRD4_rep2,N	A549_DEX_CDK9_rep1,N	A549_DEX_CDK9_rep2,N
A549_CTRL_BRD4_rep1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
A549_CTRL_BRD4_rep2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
A549_CTRL_CDK9_rep1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
A549_CTRL_CDK9_rep2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
A549_CTRL_MED1_rep1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
A549_CTRL_MED1_rep2	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
A549_CTRL_NIPBL_rep1	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
A549_CTRL_NIPBL_rep2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
A549_CTRL_SMC1A_rep1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
A549_CTRL_SMC1A_rep2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
A549_CTRL_WCE_rep1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0
A549_CTRL_WCE_rep2	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0
A549_CTRL_WCE_rep3	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0
A549_DEX_BRD4_rep1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
A549_DEX_BRD4_rep2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
A549_DEX_CDK9_rep1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
A549_DEX_CDK9_rep2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
A549_DEX_MED1_rep1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A549_DEX_NIPBL_rep1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A549_DEX_SMC1A_rep1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A549_DEX_WCE_rep1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0
A549_DEX_WCE_rep2	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1
