gene_id,ENCFF082ICE,ENCFF197WCT,ENCFF467SQA,ENCFF474PTO,ENCFF620TAH,ENCFF763LKA,ENCFF778BJF
ENSG00000223972,6,0,6,1,1,3,5
ENSG00000227232,8,2,3,1,1,0,0
ENSG00000278267,0,0,0,0,0,2,0
ENSG00000243485,0,0,0,0,0,1,0
ENSG00000274890,0,0,0,0,0,0,0
ENSG00000237613,0,0,0,0,0,0,0
ENSG00000268020,0,0,0,0,0,0,0
ENSG00000240361,0,0,0,0,0,0,0
ENSG00000186092,0,0,0,0,0,0,0
ENSG00000238009,1,0,0,0,0,0,0
ENSG00000239945,0,0,0,0,0,0,0
ENSG00000233750,0,0,0,0,0,0,0
ENSG00000268903,0,0,1,0,0,0,0
ENSG00000269981,0,0,0,0,0,0,0
ENSG00000239906,0,0,0,0,0,0,0
ENSG00000241860,25,6,3,4,6,9,4
ENSG00000222623,0,0,0,0,0,0,0
ENSG00000241599,0,0,0,0,0,0,0
ENSG00000279928,4,2,0,4,5,5,3
ENSG00000279457,28,10,20,15,14,28,25
ENSG00000273874,2,0,0,0,0,0,0
ENSG00000275135,0,0,0,0,0,0,0
ENSG00000228463,9,0,3,9,9,5,4
ENSG00000241670,0,0,0,0,0,0,0
ENSG00000236679,3,0,0,0,0,0,0
ENSG00000236743,0,0,0,0,0,0,0
ENSG00000236601,0,0,0,0,0,0,0
ENSG00000237094,6,0,3,0,5,3,3
ENSG00000269732,0,0,0,0,0,0,0
ENSG00000278566,0,0,0,0,0,0,0
ENSG00000224813,0,0,0,0,0,0,0
ENSG00000233653,0,0,0,0,0,0,0
ENSG00000250575,0,0,0,0,0,0,1
ENSG00000278757,0,0,0,0,0,0,0
ENSG00000231709,0,0,0,0,0,0,0
ENSG00000235146,0,0,0,0,0,0,0
ENSG00000239664,0,0,0,0,0,0,0
ENSG00000230021,1,0,1,1,2,2,0
ENSG00000223659,0,0,0,0,0,0,0
ENSG00000225972,231,170,437,239,200,303,483
ENSG00000225630,5654,1689,2337,2459,2308,2231,2103
ENSG00000276171,107,25,42,42,44,68,14
ENSG00000237973,502,307,660,500,505,638,685
ENSG00000278791,0,0,0,0,0,0,1
ENSG00000229344,237,155,574,287,325,445,826
ENSG00000240409,14,5,14,9,13,6,8
