SignatureId	TargetGene	CGSID	CellLine	Time	is_exemplar
LINCSKD_33464	ACLY		A549.311	96 h	
LINCSKD_33465	AKT1		A549.311	96 h	
LINCSKD_33466	AKT2		A549.311	96 h	
LINCSKD_33467	AURKB		A549.311	96 h	
LINCSKD_33468	AXL		A549.311	96 h	
LINCSKD_33469	BCL2L1		A549.311	96 h	
LINCSKD_33470	BRAF		A549.311	96 h	
LINCSKD_33471	CAMK1		A549.311	96 h	
LINCSKD_33472	CDH1		A549.311	96 h	
LINCSKD_33473	CHMP2A		A549.311	96 h	
LINCSKD_33474	CIC		A549.311	96 h	
LINCSKD_33475	CRKL		A549.311	96 h	
LINCSKD_33476	CTSK		A549.311	96 h	
LINCSKD_33477	CXCR4		A549.311	96 h	
LINCSKD_33478	DIDO1		A549.311	96 h	
LINCSKD_33479	EGFR		A549.311	96 h	
LINCSKD_33480	ERBB3		A549.311	96 h	
LINCSKD_33481	ERG		A549.311	96 h	
LINCSKD_33482	EXO1		A549.311	96 h	
LINCSKD_33483	FASN		A549.311	96 h	
LINCSKD_33484	FN1		A549.311	96 h	
LINCSKD_33485	HDAC1		A549.311	96 h	
LINCSKD_33486	HDAC2		A549.311	96 h	
LINCSKD_33487	HDAC3		A549.311	96 h	
LINCSKD_33488	IGF2BP2		A549.311	96 h	
LINCSKD_33489	INSM2		A549.311	96 h	
LINCSKD_33490	ITGA11		A549.311	96 h	
LINCSKD_33491	JUN		A549.311	96 h	
LINCSKD_33492	KEAP1		A549.311	96 h	
LINCSKD_33493	KIT		A549.311	96 h	
LINCSKD_33494	KRAS		A549.311	96 h	
LINCSKD_33495	KRT19		A549.311	96 h	
LINCSKD_33496	MAPKAPK2		A549.311	96 h	
LINCSKD_33497	MAST4		A549.311	96 h	
LINCSKD_33498	MTOR		A549.311	96 h	
LINCSKD_33499	MTTP		A549.311	96 h	
LINCSKD_33500	MYC		A549.311	96 h	
LINCSKD_33501	NF1		A549.311	96 h	
LINCSKD_33502	PFDN2		A549.311	96 h	
LINCSKD_33503	PIK3CA		A549.311	96 h	
LINCSKD_33504	PLXNA1		A549.311	96 h	
LINCSKD_33505	PPP2R2C		A549.311	96 h	
LINCSKD_33506	PTP4A1		A549.311	96 h	
LINCSKD_33507	RPS6		A549.311	96 h	
LINCSKD_33508	SMAD2		A549.311	96 h	
LINCSKD_33509	SMAD3		A549.311	96 h	
LINCSKD_33510	SMAD4		A549.311	96 h	
LINCSKD_33511	TGFBR1		A549.311	96 h	
LINCSKD_33512	TGFBR2		A549.311	96 h	
LINCSKD_33513	TINF2		A549.311	96 h	
LINCSKD_33514	TLK2		A549.311	96 h	
LINCSKD_33515	TP53		A549.311	96 h	
LINCSKD_33516	ZEB1		A549.311	96 h	
LINCSKD_3669	A2M	CGS001-2	A549	96 h	1
LINCSKD_3670	AARS	CGS001-16	A549	96 h	1
LINCSKD_3671	AATF	CGS001-26574	A549	96 h	1
LINCSKD_3672	ABAT	CGS001-18	A549	96 h	1
LINCSKD_3673	ABCA1	CGS001-19	A549	96 h	1
LINCSKD_3674	ABCA3	CGS001-21	A549	96 h	1
LINCSKD_3675	ABCA5	CGS001-23461	A549	96 h	1
LINCSKD_3676	ABCB1	CGS001-5243	A549	96 h	1
LINCSKD_3677	ABCB4	CGS001-5244	A549	96 h	1
LINCSKD_3678	ABCB5	CGS001-340273	A549	96 h	1
LINCSKD_3679	ABCB6	CGS001-10058	A549	96 h	1
LINCSKD_3680	ABCB7	CGS001-22	A549	96 h	1
LINCSKD_3681	ABCC10	CGS001-89845	A549	96 h	1
LINCSKD_3682	ABCC1	CGS001-4363	A549	96 h	1
LINCSKD_3683	ABCC2	CGS001-1244	A549	96 h	1
LINCSKD_3684	ABCC3	CGS001-8714	A549	96 h	1
LINCSKD_3685	ABCC4	CGS001-10257	A549	96 h	1
LINCSKD_3686	ABCC5	CGS001-10057	A549	96 h	1
LINCSKD_3687	ABCD3	CGS001-5825	A549	96 h	1
LINCSKD_3688	ABCF1	CGS001-23	A549	96 h	1
LINCSKD_3689	ABCF2	CGS001-10061	A549	96 h	1
LINCSKD_3690	ABCF3	CGS001-55324	A549	96 h	1
LINCSKD_3691	ABCG2	CGS001-9429	A549	96 h	1
LINCSKD_3692	ABCG5	CGS001-64240	A549	96 h	1
LINCSKD_3693	ABCG8	CGS001-64241	A549	96 h	1
LINCSKD_3694	ABHD2	CGS001-11057	A549	96 h	1
LINCSKD_3695	ABHD4	CGS001-63874	A549	96 h	1
LINCSKD_3696	ABHD6	CGS001-57406	A549	96 h	1
LINCSKD_3697	ABL1	CGS001-25	A549	96 h	1
LINCSKD_3698	ABL2	CGS001-27	A549	96 h	1
LINCSKD_3699	ACAA1	CGS001-30	A549	96 h	1
LINCSKD_3700	ACACA	CGS001-31	A549	96 h	1
LINCSKD_3701	ACACB	CGS001-32	A549	96 h	1
LINCSKD_3702	ACAD8	CGS001-27034	A549	96 h	1
LINCSKD_3703	ACADM	CGS001-34	A549	96 h	1
LINCSKD_3704	ACADSB	CGS001-36	A549	96 h	1
LINCSKD_3705	ACAT1	CGS001-38	A549	96 h	1
LINCSKD_3706	ACAT2	CGS001-39	A549	96 h	1
LINCSKD_3707	ACBD3	CGS001-64746	A549	96 h	1
LINCSKD_3708	ACD	CGS001-65057	A549	96 h	1
LINCSKD_3709	ACLY	CGS001-47	A549	96 h	1
LINCSKD_3710	ACO2	CGS001-50	A549	96 h	1
LINCSKD_3711	ACOT9	CGS001-23597	A549	96 h	1
LINCSKD_3712	ACSL1	CGS001-2180	A549	96 h	1
LINCSKD_3713	ACSL3	CGS001-2181	A549	96 h	1
LINCSKD_3714	ACSL4	CGS001-2182	A549	96 h	1
LINCSKD_3715	ACTB	CGS001-60	A549	96 h	1
LINCSKD_3716	ACTN1	CGS001-87	A549	96 h	1
LINCSKD_3717	ACTR2	CGS001-10097	A549	96 h	1
LINCSKD_3718	ACTR3	CGS001-10096	A549	96 h	1
LINCSKD_3719	ACVR1	CGS001-90	A549	96 h	1
LINCSKD_3720	ACY1	CGS001-95	A549	96 h	1
LINCSKD_3721	ADA	CGS001-100	A549	96 h	1
LINCSKD_3722	ADAM10	CGS001-102	A549	96 h	1
LINCSKD_3723	ADAM15	CGS001-8751	A549	96 h	1
LINCSKD_3724	ADAM17	CGS001-6868	A549	96 h	1
LINCSKD_3725	ADAR	CGS001-103	A549	96 h	1
LINCSKD_3726	ADAT1	CGS001-23536	A549	96 h	1
LINCSKD_3727	ADC	CGS001-113451	A549	96 h	1
LINCSKD_3728	ADCK3	CGS001-56997	A549	96 h	1
LINCSKD_3729	ADCY3	CGS001-109	A549	96 h	1
LINCSKD_3730	ADCY5	CGS001-111	A549	96 h	1
LINCSKD_3731	ADCY9	CGS001-115	A549	96 h	1
LINCSKD_3732	ADH5	CGS001-128	A549	96 h	1
LINCSKD_3733	ADH6	CGS001-130	A549	96 h	1
LINCSKD_3734	ADI1	CGS001-55256	A549	96 h	1
LINCSKD_3735	ADK	CGS001-132	A549	96 h	1
LINCSKD_3736	ADNP2	CGS001-22850	A549	96 h	1
LINCSKD_3737	ADO	CGS001-84890	A549	96 h	1
LINCSKD_3738	ADORA2A	CGS001-135	A549	96 h	1
LINCSKD_3739	ADORA2B	CGS001-136	A549	96 h	1
LINCSKD_3740	ADPGK	CGS001-83440	A549	96 h	1
LINCSKD_3741	ADRA2A	CGS001-150	A549	96 h	1
LINCSKD_3742	ADRA2C	CGS001-152	A549	96 h	1
LINCSKD_3743	ADRB2	CGS001-154	A549	96 h	1
LINCSKD_3744	ADRBK1	CGS001-156	A549	96 h	1
LINCSKD_3745	ADSS	CGS001-159	A549	96 h	1
LINCSKD_3746	AES	CGS001-166	A549	96 h	1
LINCSKD_3747	AFF1	CGS001-4299	A549	96 h	1
LINCSKD_3748	AFF4	CGS001-27125	A549	96 h	1
LINCSKD_3749	AFG3L2	CGS001-10939	A549	96 h	1
LINCSKD_3750	AFP	CGS001-174	A549	96 h	1
LINCSKD_3751	AGL	CGS001-178	A549	96 h	1
LINCSKD_3752	AGPAT1	CGS001-10554	A549	96 h	1
LINCSKD_3753	AGPAT2	CGS001-10555	A549	96 h	1
LINCSKD_3754	AGT	CGS001-183	A549	96 h	1
LINCSKD_3755	AGTR1	CGS001-185	A549	96 h	1
LINCSKD_3756	AHCY	CGS001-191	A549	96 h	1
LINCSKD_3757	AHR	CGS001-196	A549	96 h	1
LINCSKD_3758	AHRR	CGS001-57491	A549	96 h	1
LINCSKD_3759	AIFM1	CGS001-9131	A549	96 h	1
LINCSKD_3760	AIM2	CGS001-9447	A549	96 h	1
LINCSKD_3761	AIMP2	CGS001-7965	A549	96 h	1
LINCSKD_3762	AIRE	CGS001-326	A549	96 h	1
LINCSKD_3763	AK1	CGS001-203	A549	96 h	1
LINCSKD_3764	AK2	CGS001-204	A549	96 h	1
LINCSKD_3765	AK3	CGS001-50808	A549	96 h	1
LINCSKD_3766	AK4	CGS001-205	A549	96 h	1
LINCSKD_3767	AKAP1	CGS001-8165	A549	96 h	1
LINCSKD_3768	AKAP11	CGS001-11215	A549	96 h	1
LINCSKD_3769	AKAP13	CGS001-11214	A549	96 h	1
LINCSKD_3770	AKAP17A	CGS001-8227	A549	96 h	1
LINCSKD_3771	AKAP8	CGS001-10270	A549	96 h	1
LINCSKD_3772	AKAP8L	CGS001-26993	A549	96 h	1
LINCSKD_3773	AKAP9	CGS001-10142	A549	96 h	1
LINCSKD_3774	AKR1A1	CGS001-10327	A549	96 h	1
LINCSKD_3775	AKR1B1	CGS001-231	A549	96 h	1
LINCSKD_3776	AKR1C1	CGS001-1645	A549	96 h	1
LINCSKD_3777	AKR1C2	CGS001-1646	A549	96 h	1
LINCSKD_3778	AKR1C3	CGS001-8644	A549	96 h	1
LINCSKD_3779	AKR7A2	CGS001-8574	A549	96 h	1
LINCSKD_3780	AKT1	CGS001-207	A549	96 h	1
LINCSKD_3781	AKT2	CGS001-208	A549	96 h	1
LINCSKD_3782	AKT3	CGS001-10000	A549	96 h	1
LINCSKD_3783	AKTIP	CGS001-64400	A549	96 h	1
LINCSKD_3784	ALAD	CGS001-210	A549	96 h	1
LINCSKD_3785	ALAS1	CGS001-211	A549	96 h	1
LINCSKD_3786	ALB	CGS001-213	A549	96 h	1
LINCSKD_3787	ALDH18A1	CGS001-5832	A549	96 h	1
LINCSKD_3788	ALDH1A1	CGS001-216	A549	96 h	1
LINCSKD_3789	ALDH1A3	CGS001-220	A549	96 h	1
LINCSKD_3790	ALDH1B1	CGS001-219	A549	96 h	1
LINCSKD_3791	ALDH2	CGS001-217	A549	96 h	1
LINCSKD_3792	ALDH3A1	CGS001-218	A549	96 h	1
LINCSKD_3793	ALDH3A2	CGS001-224	A549	96 h	1
LINCSKD_3794	ALDH3B1	CGS001-221	A549	96 h	1
LINCSKD_3795	ALDH3B2	CGS001-222	A549	96 h	1
LINCSKD_3796	ALDH4A1	CGS001-8659	A549	96 h	1
LINCSKD_3797	ALDH5A1	CGS001-7915	A549	96 h	1
LINCSKD_3798	ALDH6A1	CGS001-4329	A549	96 h	1
LINCSKD_3799	ALDH7A1	CGS001-501	A549	96 h	1
LINCSKD_3800	ALDH9A1	CGS001-223	A549	96 h	1
LINCSKD_3801	ALDOA	CGS001-226	A549	96 h	1
LINCSKD_3802	ALDOC	CGS001-230	A549	96 h	1
LINCSKD_3803	ALG5	CGS001-29880	A549	96 h	1
LINCSKD_3804	ALG9	CGS001-79796	A549	96 h	1
LINCSKD_3805	ALK	CGS001-238	A549	96 h	1
LINCSKD_3806	ALMS1	CGS001-7840	A549	96 h	1
LINCSKD_3807	ALX1	CGS001-8092	A549	96 h	1
LINCSKD_3808	AMBP	CGS001-259	A549	96 h	1
LINCSKD_3809	AMD1	CGS001-262	A549	96 h	1
LINCSKD_3810	AMDHD2	CGS001-51005	A549	96 h	1
LINCSKD_3811	AMIGO3	CGS001-386724	A549	96 h	1
LINCSKD_3812	AMPD2	CGS001-271	A549	96 h	1
LINCSKD_3813	AMT	CGS001-275	A549	96 h	1
LINCSKD_3814	ANAPC5	CGS001-51433	A549	96 h	1
LINCSKD_3815	ANG	CGS001-283	A549	96 h	1
LINCSKD_3816	ANGPT1	CGS001-284	A549	96 h	1
LINCSKD_3817	ANKRD10	CGS001-55608	A549	96 h	1
LINCSKD_3818	ANKRD37	CGS001-353322	A549	96 h	1
LINCSKD_3819	ANKRD49	CGS001-54851	A549	96 h	1
LINCSKD_3820	ANKRD55	CGS001-79722	A549	96 h	1
LINCSKD_3821	ANKZF1	CGS001-55139	A549	96 h	1
LINCSKD_3822	ANO10	CGS001-55129	A549	96 h	1
LINCSKD_3823	ANO1	CGS001-55107	A549	96 h	1
LINCSKD_3824	ANP32E	CGS001-81611	A549	96 h	1
LINCSKD_3825	ANPEP	CGS001-290	A549	96 h	1
LINCSKD_3826	ANXA1	CGS001-301	A549	96 h	1
LINCSKD_3827	ANXA2	CGS001-302	A549	96 h	1
LINCSKD_3828	ANXA3	CGS001-306	A549	96 h	1
LINCSKD_3829	ANXA5	CGS001-308	A549	96 h	1
LINCSKD_3830	ANXA7	CGS001-310	A549	96 h	1
LINCSKD_3831	AOC3	CGS001-8639	A549	96 h	1
LINCSKD_3832	AP1B1	CGS001-162	A549	96 h	1
LINCSKD_3833	AP1S2	CGS001-8905	A549	96 h	1
LINCSKD_3834	AP2A1	CGS001-160	A549	96 h	1
LINCSKD_3835	AP2A2	CGS001-161	A549	96 h	1
LINCSKD_3836	AP2M1	CGS001-1173	A549	96 h	1
LINCSKD_3837	AP4S1	CGS001-11154	A549	96 h	1
LINCSKD_3838	APBB2	CGS001-323	A549	96 h	1
LINCSKD_3839	APC	CGS001-324	A549	96 h	1
LINCSKD_3840	APEX1	CGS001-328	A549	96 h	1
LINCSKD_3841	APOA1	CGS001-335	A549	96 h	1
LINCSKD_3842	APOA2	CGS001-336	A549	96 h	1
LINCSKD_3843	APOA5	CGS001-116519	A549	96 h	1
LINCSKD_3844	APOB	CGS001-338	A549	96 h	1
LINCSKD_3845	APOBEC3H	CGS001-164668	A549	96 h	1
LINCSKD_3846	APOC2	CGS001-344	A549	96 h	1
LINCSKD_3847	APOE	CGS001-348	A549	96 h	1
LINCSKD_3848	APOH	CGS001-350	A549	96 h	1
LINCSKD_3849	APOM	CGS001-55937	A549	96 h	1
LINCSKD_3850	APOO	CGS001-79135	A549	96 h	1
LINCSKD_3851	APP	CGS001-351	A549	96 h	1
LINCSKD_3852	APPBP2	CGS001-10513	A549	96 h	1
LINCSKD_3853	APRT	CGS001-353	A549	96 h	1
LINCSKD_3854	AQP12A	CGS001-375318	A549	96 h	1
LINCSKD_3855	AR	CGS001-367	A549	96 h	1
LINCSKD_3856	ARAF	CGS001-369	A549	96 h	1
LINCSKD_3857	ARF1	CGS001-375	A549	96 h	1
LINCSKD_3858	ARF4	CGS001-378	A549	96 h	1
LINCSKD_3859	ARF6	CGS001-382	A549	96 h	1
LINCSKD_3860	ARFIP2	CGS001-23647	A549	96 h	1
LINCSKD_3861	ARFRP1	CGS001-10139	A549	96 h	1
LINCSKD_3862	ARG1	CGS001-383	A549	96 h	1
LINCSKD_3863	ARGLU1	CGS001-55082	A549	96 h	1
LINCSKD_3864	ARHGAP1	CGS001-392	A549	96 h	1
LINCSKD_3865	ARHGAP35	CGS001-2909	A549	96 h	1
LINCSKD_3866	ARHGAP9	CGS001-64333	A549	96 h	1
LINCSKD_3867	ARHGDIB	CGS001-397	A549	96 h	1
LINCSKD_3868	ARHGEF11	CGS001-9826	A549	96 h	1
LINCSKD_3869	ARHGEF12	CGS001-23365	A549	96 h	1
LINCSKD_3870	ARHGEF2	CGS001-9181	A549	96 h	1
LINCSKD_3871	ARHGEF5	CGS001-7984	A549	96 h	1
LINCSKD_3872	ARHGEF6	CGS001-9459	A549	96 h	1
LINCSKD_3873	ARHGEF7	CGS001-8874	A549	96 h	1
LINCSKD_3874	ARID3A	CGS001-1820	A549	96 h	1
LINCSKD_3875	ARID4B	CGS001-51742	A549	96 h	1
LINCSKD_3876	ARID5B	CGS001-84159	A549	96 h	1
LINCSKD_3877	ARL1	CGS001-400	A549	96 h	1
LINCSKD_3878	ARL3	CGS001-403	A549	96 h	1
LINCSKD_3879	ARL4C	CGS001-10123	A549	96 h	1
LINCSKD_3880	ARNT	CGS001-405	A549	96 h	1
LINCSKD_3881	ARNT2	CGS001-9915	A549	96 h	1
LINCSKD_3882	ARNTL	CGS001-406	A549	96 h	1
LINCSKD_3883	ARNTL2	CGS001-56938	A549	96 h	1
LINCSKD_3884	ARPC1A	CGS001-10552	A549	96 h	1
LINCSKD_3885	ARPC1B	CGS001-10095	A549	96 h	1
LINCSKD_3886	ARPC2	CGS001-10109	A549	96 h	1
LINCSKD_3887	ARPC3	CGS001-10094	A549	96 h	1
LINCSKD_3888	ARPC4	CGS001-10093	A549	96 h	1
LINCSKD_3889	ARPC5	CGS001-10092	A549	96 h	1
LINCSKD_3890	ARPP19	CGS001-10776	A549	96 h	1
LINCSKD_3891	ARRB1	CGS001-408	A549	96 h	1
LINCSKD_3892	ARX	CGS001-170302	A549	96 h	1
LINCSKD_3893	ASAH1	CGS001-427	A549	96 h	1
LINCSKD_3894	ASAP2	CGS001-8853	A549	96 h	1
LINCSKD_3895	ASCC3	CGS001-10973	A549	96 h	1
LINCSKD_3896	ASCL4	CGS001-121549	A549	96 h	1
LINCSKD_3897	ASF1A	CGS001-25842	A549	96 h	1
LINCSKD_3898	ASF1B	CGS001-55723	A549	96 h	1
LINCSKD_3899	ASGR2	CGS001-433	A549	96 h	1
LINCSKD_3900	ASH2L	CGS001-9070	A549	96 h	1
LINCSKD_3901	ASL	CGS001-435	A549	96 h	1
LINCSKD_3902	ASMTL	CGS001-8623	A549	96 h	1
LINCSKD_3903	ASNA1	CGS001-439	A549	96 h	1
LINCSKD_3904	ASNS	CGS001-440	A549	96 h	1
LINCSKD_3905	ASPH	CGS001-444	A549	96 h	1
LINCSKD_3906	ASRGL1	CGS001-80150	A549	96 h	1
LINCSKD_3907	ASS1	CGS001-445	A549	96 h	1
LINCSKD_3908	ATF1	CGS001-466	A549	96 h	1
LINCSKD_3909	ATF2	CGS001-1386	A549	96 h	1
LINCSKD_3910	ATF3	CGS001-467	A549	96 h	1
LINCSKD_3911	ATF4	CGS001-468	A549	96 h	1
LINCSKD_3912	ATF5	CGS001-22809	A549	96 h	1
LINCSKD_3913	ATG12	CGS001-9140	A549	96 h	1
LINCSKD_3914	ATG16L1	CGS001-55054	A549	96 h	1
LINCSKD_3915	ATG16L2	CGS001-89849	A549	96 h	1
LINCSKD_3916	ATG3	CGS001-64422	A549	96 h	1
LINCSKD_3917	ATG4A	CGS001-115201	A549	96 h	1
LINCSKD_3918	ATG4B	CGS001-23192	A549	96 h	1
LINCSKD_3919	ATG5	CGS001-9474	A549	96 h	1
LINCSKD_3920	ATG7	CGS001-10533	A549	96 h	1
LINCSKD_3921	ATIC	CGS001-471	A549	96 h	1
LINCSKD_3922	ATM	CGS001-472	A549	96 h	1
LINCSKD_3923	ATMIN	CGS001-23300	A549	96 h	1
LINCSKD_3924	ATOX1	CGS001-475	A549	96 h	1
LINCSKD_3925	ATP11B	CGS001-23200	A549	96 h	1
LINCSKD_3926	ATP1A1	CGS001-476	A549	96 h	1
LINCSKD_3927	ATP1A3	CGS001-478	A549	96 h	1
LINCSKD_3928	ATP1B1	CGS001-481	A549	96 h	1
LINCSKD_3929	ATP2A2	CGS001-488	A549	96 h	1
LINCSKD_3930	ATP2C1	CGS001-27032	A549	96 h	1
LINCSKD_3931	ATP5A1	CGS001-498	A549	96 h	1
LINCSKD_3932	ATP5B	CGS001-506	A549	96 h	1
LINCSKD_3933	ATP5C1	CGS001-509	A549	96 h	1
LINCSKD_3934	ATP5D	CGS001-513	A549	96 h	1
LINCSKD_3935	ATP5F1	CGS001-515	A549	96 h	1
LINCSKD_3936	ATP5G1	CGS001-516	A549	96 h	1
LINCSKD_3937	ATP5H	CGS001-10476	A549	96 h	1
LINCSKD_3938	ATP5L	CGS001-10632	A549	96 h	1
LINCSKD_3939	ATP5O	CGS001-539	A549	96 h	1
LINCSKD_3940	ATP5S	CGS001-27109	A549	96 h	1
LINCSKD_3941	ATP6AP1	CGS001-537	A549	96 h	1
LINCSKD_3942	ATP6V0A1	CGS001-535	A549	96 h	1
LINCSKD_3943	ATP6V0B	CGS001-533	A549	96 h	1
LINCSKD_3944	ATP6V0C	CGS001-527	A549	96 h	1
LINCSKD_3945	ATP6V1A	CGS001-523	A549	96 h	1
LINCSKD_3946	ATP6V1D	CGS001-51382	A549	96 h	1
LINCSKD_3947	ATP6V1F	CGS001-9296	A549	96 h	1
LINCSKD_3948	ATP7A	CGS001-538	A549	96 h	1
LINCSKD_3949	ATR	CGS001-545	A549	96 h	1
LINCSKD_3950	ATRX	CGS001-546	A549	96 h	1
LINCSKD_3951	ATXN3	CGS001-4287	A549	96 h	1
LINCSKD_3952	AURKA	CGS001-6790	A549	96 h	1
LINCSKD_3953	AURKAIP1	CGS001-54998	A549	96 h	1
LINCSKD_3954	AURKB	CGS001-9212	A549	96 h	1
LINCSKD_3955	AXIN1	CGS001-8312	A549	96 h	1
LINCSKD_3956	AXL	CGS001-558	A549	96 h	1
LINCSKD_3957	AZGP1	CGS001-563	A549	96 h	1
LINCSKD_3958	AZI2	CGS001-64343	A549	96 h	1
LINCSKD_3959	B2M	CGS001-567	A549	96 h	1
LINCSKD_3960	B3GAT3	CGS001-26229	A549	96 h	1
LINCSKD_3961	B3GNT1	CGS001-11041	A549	96 h	1
LINCSKD_3962	B4GALNT1	CGS001-2583	A549	96 h	1
LINCSKD_3963	B4GALT1	CGS001-2683	A549	96 h	1
LINCSKD_3964	B4GALT3	CGS001-8703	A549	96 h	1
LINCSKD_3965	B4GALT4	CGS001-8702	A549	96 h	1
LINCSKD_3966	BACE1	CGS001-23621	A549	96 h	1
LINCSKD_3967	BACE2	CGS001-25825	A549	96 h	1
LINCSKD_3968	BACH1	CGS001-571	A549	96 h	1
LINCSKD_3969	BACH2	CGS001-60468	A549	96 h	1
LINCSKD_3970	BAD	CGS001-572	A549	96 h	1
LINCSKD_3971	BAG1	CGS001-573	A549	96 h	1
LINCSKD_3972	BAG3	CGS001-9531	A549	96 h	1
LINCSKD_3973	BAG6	CGS001-7917	A549	96 h	1
LINCSKD_3974	BAK1	CGS001-578	A549	96 h	1
LINCSKD_3975	BAMBI	CGS001-25805	A549	96 h	1
LINCSKD_3976	BARX1	CGS001-56033	A549	96 h	1
LINCSKD_3977	BATF	CGS001-10538	A549	96 h	1
LINCSKD_3978	BATF3	CGS001-55509	A549	96 h	1
LINCSKD_3979	BAX	CGS001-581	A549	96 h	1
LINCSKD_3980	BAZ1B	CGS001-9031	A549	96 h	1
LINCSKD_3981	BAZ2B	CGS001-29994	A549	96 h	1
LINCSKD_3982	BBC3	CGS001-27113	A549	96 h	1
LINCSKD_3983	BBS9	CGS001-27241	A549	96 h	1
LINCSKD_3984	BCAT1	CGS001-586	A549	96 h	1
LINCSKD_3985	BCAT2	CGS001-587	A549	96 h	1
LINCSKD_3986	BCCIP	CGS001-56647	A549	96 h	1
LINCSKD_3987	BCKDHA	CGS001-593	A549	96 h	1
LINCSKD_3988	BCKDK	CGS001-10295	A549	96 h	1
LINCSKD_3989	BCL10	CGS001-8915	A549	96 h	1
LINCSKD_3990	BCL2	CGS001-596	A549	96 h	1
LINCSKD_3991	BCL2A1	CGS001-597	A549	96 h	1
LINCSKD_3992	BCL2L1	CGS001-598	A549	96 h	1
LINCSKD_3993	BCL2L11	CGS001-10018	A549	96 h	1
LINCSKD_3994	BCL2L13	CGS001-23786	A549	96 h	1
LINCSKD_3995	BCL2L2	CGS001-599	A549	96 h	1
LINCSKD_3996	BCL3	CGS001-602	A549	96 h	1
LINCSKD_3997	BCL6	CGS001-604	A549	96 h	1
LINCSKD_3998	BCL6B	CGS001-255877	A549	96 h	1
