Sample	LCC9_CTRL_MED1,N	LCC9_CTRL_NIPBL,N	LCC9_CTRL_SMC1,N	LCC9_CTRL_POL2,B	LCC9_CTRL_ERA,N	LCC9_E2_MED1,N	LCC9_E2_NIPBL,N	LCC9_E2_SMC1,N	LCC9_E2_POL2,B	LCC9_E2_ERA,N
LCC9_CTRL_ERA	0	0	0	0	2	0	0	0	0	0
LCC9_CTRL_MED1	2	0	0	0	0	0	0	0	0	0
LCC9_CTRL_NIPBL	0	2	0	0	0	0	0	0	0	0
LCC9_CTRL_POL2	0	0	0	2	0	0	0	0	0	0
LCC9_CTRL_SMC1	0	0	2	0	0	0	0	0	0	0
LCC9_CTRL_WCE	1	1	1	1	1	0	0	0	0	0
LCC9_E2_ERA	0	0	0	0	2	0	0	0	0	2
LCC9_E2_MED1	0	0	0	0	0	2	0	0	0	0
LCC9_E2_NIPBL	0	0	0	0	0	0	2	0	0	0
LCC9_E2_POL2	0	0	0	0	0	0	0	0	2	0
LCC9_E2_SMC1	0	0	0	0	0	0	0	2	0	0
LCC9_E2_WCE	0	0	0	0	0	1	1	1	1	1
