Sample	MCF7_CTRL_MED1,N	MCF7_CTRL_NIPBL,N	MCF7_CTRL_SMC1,N	MCF7_CTRL_POL2,N	MCF7_CTRL_ERA,N	MCF7_E2_MED1,N	MCF7_E2_NIPBL,N	MCF7_E2_SMC1,N	MCF7_E2_POL2,N	MCF7_E2_ERA,N
MCF7_CTRL_WCE	1	1	1	1	1	0	0	0	0	0
MCF7_CTRL_MED1	2	0	0	0	0	0	0	0	0	0
MCF7_CTRL_NIPBL	0	2	0	0	0	0	0	0	0	0
MCF7_CTRL_SMC1	0	0	2	0	0	0	0	0	0	0
MCF7_CTRL_POL2	0	0	0	2	0	0	0	0	0	0
MCF7_CTRL_ERA	0	0	0	0	2	0	0	0	0	0
MCF7_E2_WCE	0	0	0	0	0	1	1	1	1	1
MCF7_E2_MED1	0	0	0	0	0	2	0	0	0	0
MCF7_E2_NIPBL	0	0	0	0	0	0	2	0	0	0
MCF7_E2_SMC1	0	0	0	0	0	0	0	2	0	0
MCF7_E2_POL2	0	0	0	0	0	0	0	0	2	0
MCF7_E2_ERA	0	0	0	0	0	0	0	0	0	2
