Gene	Fold_change_32h
CLDN23	-1,41
KRT81	-3,445
LMCD1	-1,376
RASD1	-1,86
VASN	-0,409
ATF3	-0,523
CGN	-0,56
EPPK1	-0,508
ERRFI1	-0,589
GDF15	-0,987
HES1	-0,092
LOH3CR2A	-0,214
MAP3K8	-0,274
MYLIP	-0,48
NCOA7	-0,828
NRBP2	-0,72
PLEKHF1	-0,788
SLC20A2	-0,734
TMEM49	-0,705
TUFT1	-0,79
ZYX	-0,592
ILMN_1870301	-0,554
MGC14376	-0,389
BAG3	-0,076
FGD3	-0,753
SLC16A6	-0,158
TFAP2C	0,426
C3orf59	-0,746
CLDN1	-1,457
EDN1	-0,492
ERN1	0,899
FHL2	-0,085
GADD45B	0,106
IGFL1	-0,973
INHBB	-0,99
ITGAV	-0,76
OBFC2A	0,032
SFRS7	-0,186
UPK2	-0,629
FLVCR2	-0,356
PRAGMIN	0,131
CYP1B1	0,039
RARA	0,88
TLN2	0,737
FOS	1,084
FOXC1	1,535
MYC	1,042
PHLDA1	0,852
SLC25A25	0,883
SLC2A1	0,892
THBS1	0,443
TIPARP	0,688
ZSWIM6	0,969
MGC16121	0,531
SLC7A5P1	1,209
C1QTNF6	1,427
C3orf26	0,971
DEPDC6	1,522
DOK7	1,56
FKBP4	1,427
IGFBP4	1,385
IL17RB	1,172
KCNK6	1,46
LONRF2	1,171
MSI2	1,482
RET	1,44
SFXN2	1,582
BCL2	1,684
C12orf24	1,472
COL12A1	1,026
EIF5B	1,002
GAL	1,472
HNRPA1	1,482
IL20	1,127
IRS1	1,649
LRP8	0,941
MICB	0,89
NEIL2	1,502
NOLC1	1,367
NRIP1	0,991
PPM1K	1,735
RBM24	1,191
RHOBTB3	1,443
RPL13	1,189
SLC27A2	0,579
SLC29A1	1,344
SLC3A2	1,661
SRM	1,21
TMEM2	1,062
TRIP13	1,42
TTF2	1,104
VGF	0,893
AK095472	1,201
C11orf82	1,316
CYCSL1	1,025
HSPC111	1,202
LYAR	1,433
FAIM3	1,242
RUVBL1	1,048
SLC9A3R1	0,949
ABCE1	0,568
AMD1	0,751
ASNS	0,332
BXDC1	0,653
BXDC2	0,85
C6orf66	0,572
CD44	0,651
DDX10	0,869
DDX21	0,714
DHRS2	0,903
DKC1	0,916
ENDOD1	1,043
GPATCH4	0,764
HLA-DRB5	0,259
HNRPAB	0,7845
HSPH1	0,624
INSIG1	0,55
ISG20L1	0,73
LTV1	0,89
MAP6D1	0,11
METTL1	0,817
MRTO4	1,126
MTHFD1L	0,483
NOL1	0,806
NOL6	0,647
PAK1IP1	0,614
PIGW	0,886
PPAT	0,409
PPRC1	0,839
PUS1	0,79
PYCR1	0,766
RBM14	1,003
RPP25	0,813
RPP40	0,657
RRP12	0,646
RRP9	0,966
RRS1	1,016
SDCCAG3	0,727
SGK3	0,955
SLC25A19	0,79
SLC7A1	0,753
WDR12	0,85
WDR4	0,654
ILMN_1665483	0,794
ILMN_1874323	0,96
KIAA1026	0,902
AF112968	0,84
C7orf40	0,858
RP13-15M17.2	1,043
CAP2	0,534
FAM102A	0,546
LRIG1	0,661
OSGIN1	0,704
SLC22A5	0,447
ALKBH2	0,878
BYSL	0,856
C1orf163	0,785
CEBPZ	0,234
CXorf6	0,606
DDX55	0,598
DHX33	0,572
DPH2	0,633
EXOSC2	0,633
FASTKD2	0,759
GTPBP4	0,663
ITGA2	0,635
MARS2	0,485
MAT2A	0,465
MKI67IP	0,489
NIP7	0,5
NOC3L	0,537
NOL8	0,592
NT5DC3	0,857
NUP35	0,575
NXT1	0,441
PAPSS2	0,2
PDCD11	0,596
PEO1	0,794
PISD	0,887
PUS7	0,537
RCL1	0,941
RIOK1	0,419
SRPRB	0,483
TFG	0,681
TSEN2	0,678
WDR74	0,711
XBP1	0,673
ZNF239	0,348
LOC26010	0,478
JTV1	0,824
RRP15	0,586
SELI	0,561
WDR43	0,887
ABAT	0,113
AXIN1	0,693
CCND1	0,377
CHD9	0,236
CISH	0,481
FER1L3	0,339
GAB2	0,695
