Sample	mESC_P300_rep1,N	mESC_P300_rep2,N	mESC_P300_rep3,N	mESC_P300_rep4,N	mESC_P300,N	mESC_NANOG_rep1,N	mESC_NANOG_rep2,N	mESC_NANOG_rep3,N	mESC_NANOG_rep4,N	mESC_NANOG_rep5,N	mESC_NANOG_rep6,N	mESC_NANOG_rep7,N	mESC_NANOG_rep8,N	mESC_NANOG,N	mESC_OCT4_rep1,N	mESC_OCT4_rep2,N	mESC_OCT4_rep3,N	mESC_OCT4_rep4,N	mESC_OCT4,N	mESC_SOX2_rep1,N	mESC_SOX2_rep2,N	mESC_SOX2_rep3,N	mESC_SOX2_rep4,N	mESC_SOX2,N	mESC_SMAD1_rep1,N	mESC_SMAD1_rep2,N	mESC_SMAD1_rep3,N	mESC_SMAD1,N	mESC_E2F1_rep1,N	mESC_E2F1_rep2,N	mESC_E2F1_rep3,N	mESC_E2F1_rep4,N	mESC_E2F1,N	mESC_TCFCP2L1_rep1,N	mESC_TCFCP2L1_rep2,N	mESC_TCFCP2L1_rep3,N	mESC_TCFCP2L1_rep4,N	mESC_TCFCP2L1,N	mESC_CTCF_rep1,N	mESC_CTCF_rep2,N	mESC_CTCF_rep3,N	mESC_CTCF,N	mESC_ZFX_rep1,N	mESC_ZFX_rep2,N	mESC_ZFX_rep3,N	mESC_ZFX_rep4,N	mESC_ZFX,N	mESC_STAT3_rep1,N	mESC_STAT3_rep2,N	mESC_STAT3_rep3,N	mESC_STAT3_rep4,N	mESC_STAT3,N	mESC_KLF4_rep1,N	mESC_KLF4_rep2,N	mESC_KLF4_rep3,N	mESC_KLF4_rep4,N	mESC_KLF4,N	mESC_ESRRB_rep1,N	mESC_ESRRB_rep2,N	mESC_ESRRB_rep3,N	mESC_ESRRB_rep4,N	mESC_ESRRB,N	mESC_CMYC_rep1,N	mESC_CMYC_rep2,N	mESC_CMYC_rep3,N	mESC_CMYC_rep4,N	mESC_CMYC,N	mESC_NMYC_rep1,N	mESC_NMYC_rep2,N	mESC_NMYC_rep3,N	mESC_NMYC_rep4,N	mESC_NMYC,N	mESC_SUZ12_rep1,N	mESC_SUZ12_rep2,N	mESC_SUZ12_rep3,N	mESC_SUZ12_rep4,N	mESC_SUZ12,N
mESC_GFP_rep1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
mESC_GFP_rep2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
mESC_GFP_rep3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
mESC_GFP_rep4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
mESC_P300_rep1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mESC_P300_rep2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mESC_P300_rep3	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mESC_P300_rep4	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mESC_NANOG_rep1	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mESC_NANOG_rep2	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
