Sample	mESC_SMC1_rep1,N	mESC_SMC1_rep2,N	mESC_SMC1,N	mESC_SMC3_rep1,N	mESC_SMC3_rep2,N	mESC_SMC3,N	mESC_MED12_rep1,N	mESC_MED12_rep2,N	mESC_MED12,N	mESC_MED1_rep1,N	mESC_MED1_rep2,N	mESC_MED1,N	mESC_NIPBL_rep1,N	mESC_NIPBL_rep2,N	mESC_NIPBL,N
mESC_SMC1_rep1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
mESC_SMC1_rep2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
mESC_SMC3_rep1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
mESC_SMC3_rep2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0
mESC_MED12_rep1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0
mESC_MED12_rep2	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0
mESC_MED1_rep1	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0
mESC_MED1_rep2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0
mESC_NIPBL_rep1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2
mESC_NIPBL_rep2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
mESC_WCE_rep1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
